	dims=100 task=gender kernel=rbf gamma=0.0001 C=0.0001	dims=100 task=gender kernel=rbf gamma=0.0001 C=0.001	dims=100 task=gender kernel=rbf gamma=0.0001 C=1	dims=100 task=gender kernel=rbf gamma=0.0001 C=1000.0	dims=100 task=gender kernel=rbf gamma=0.0001 C=10000.0	dims=100 task=gender kernel=rbf gamma=0.0001 C=100000.0	dims=100 task=gender kernel=rbf gamma=0.0001 C=1e-05	dims=100 task=gender kernel=rbf gamma=0.001 C=0.0001	dims=100 task=gender kernel=rbf gamma=0.001 C=0.001	dims=100 task=gender kernel=rbf gamma=0.001 C=1	dims=100 task=gender kernel=rbf gamma=0.001 C=1000.0	dims=100 task=gender kernel=rbf gamma=0.001 C=10000.0	dims=100 task=gender kernel=rbf gamma=0.001 C=100000.0	dims=100 task=gender kernel=rbf gamma=0.001 C=1e-05	dims=100 task=gender kernel=rbf gamma=1 C=0.0001	dims=100 task=gender kernel=rbf gamma=1 C=0.001	dims=100 task=gender kernel=rbf gamma=1 C=1	dims=100 task=gender kernel=rbf gamma=1 C=1000.0	dims=100 task=gender kernel=rbf gamma=1 C=10000.0	dims=100 task=gender kernel=rbf gamma=1 C=100000.0	dims=100 task=gender kernel=rbf gamma=1 C=1e-05	dims=100 task=gender kernel=rbf gamma=1000.0 C=0.0001	dims=100 task=gender kernel=rbf gamma=1000.0 C=0.001	dims=100 task=gender kernel=rbf gamma=1000.0 C=1	dims=100 task=gender kernel=rbf gamma=1000.0 C=1000.0	dims=100 task=gender kernel=rbf gamma=1000.0 C=10000.0	dims=100 task=gender kernel=rbf gamma=1000.0 C=100000.0	dims=100 task=gender kernel=rbf gamma=1000.0 C=1e-05	dims=100 task=gender kernel=rbf gamma=10000.0 C=0.0001	dims=100 task=gender kernel=rbf gamma=10000.0 C=0.001	dims=100 task=gender kernel=rbf gamma=10000.0 C=1	dims=100 task=gender kernel=rbf gamma=10000.0 C=1000.0	dims=100 task=gender kernel=rbf gamma=10000.0 C=10000.0	dims=100 task=gender kernel=rbf gamma=10000.0 C=100000.0	dims=100 task=gender kernel=rbf gamma=10000.0 C=1e-05	dims=100 task=gender kernel=rbf gamma=100000.0 C=0.0001	dims=100 task=gender kernel=rbf gamma=100000.0 C=0.001	dims=100 task=gender kernel=rbf gamma=100000.0 C=1	dims=100 task=gender kernel=rbf gamma=100000.0 C=1000.0	dims=100 task=gender kernel=rbf gamma=100000.0 C=10000.0	dims=100 task=gender kernel=rbf gamma=100000.0 C=100000.0	dims=100 task=gender kernel=rbf gamma=100000.0 C=1e-05	dims=100 task=gender kernel=rbf gamma=1e-05 C=0.0001	dims=100 task=gender kernel=rbf gamma=1e-05 C=0.001	dims=100 task=gender kernel=rbf gamma=1e-05 C=1	dims=100 task=gender kernel=rbf gamma=1e-05 C=1000.0	dims=100 task=gender kernel=rbf gamma=1e-05 C=10000.0	dims=100 task=gender kernel=rbf gamma=1e-05 C=100000.0	dims=100 task=gender kernel=rbf gamma=1e-05 C=1e-05
dims=100 task=gender kernel=rbf gamma=0.0001 C=0.0001																		0.00650170237308	0.0022022199425	0.014019277114					0.000381058452051	0.000381058452051	0.000381058452051				0.0113296966845	0.00650170237308	0.00650170237308	0.00650170237308															
dims=100 task=gender kernel=rbf gamma=0.0001 C=0.001																		0.00650170237308	0.0022022199425	0.014019277114					0.000381058452051	0.000381058452051	0.000381058452051				0.0113296966845	0.00650170237308	0.00650170237308	0.00650170237308															
dims=100 task=gender kernel=rbf gamma=0.0001 C=1																		0.00650170237308	0.0022022199425	0.014019277114					0.000381058452051	0.000381058452051	0.000381058452051				0.0113296966845	0.00650170237308	0.00650170237308	0.00650170237308															
dims=100 task=gender kernel=rbf gamma=0.0001 C=1000.0																		0.00650170237308	0.0022022199425	0.014019277114					0.000381058452051	0.000381058452051	0.000381058452051				0.0113296966845	0.00650170237308	0.00650170237308	0.00650170237308															
dims=100 task=gender kernel=rbf gamma=0.0001 C=10000.0																		0.00650170237308	0.0022022199425	0.014019277114					0.000381058452051	0.000381058452051	0.000381058452051				0.0113296966845	0.00650170237308	0.00650170237308	0.00650170237308															
dims=100 task=gender kernel=rbf gamma=0.0001 C=100000.0																		0.00650170237308	0.0022022199425	0.014019277114					0.000381058452051	0.000381058452051	0.000381058452051				0.0113296966845	0.00650170237308	0.00650170237308	0.00650170237308															
dims=100 task=gender kernel=rbf gamma=0.0001 C=1e-05																		0.00650170237308	0.0022022199425	0.014019277114					0.000381058452051	0.000381058452051	0.000381058452051				0.0113296966845	0.00650170237308	0.00650170237308	0.00650170237308															
dims=100 task=gender kernel=rbf gamma=0.001 C=0.0001																		0.00650170237308	0.00282727209112	0.0211339281292					0.000381058452051	0.000381058452051	0.000381058452051				0.0126111440993	0.0081509715935	0.0081509715935	0.0081509715935		0.0312090127717	0.0312090127717					0.0312090127717							
dims=100 task=gender kernel=rbf gamma=0.001 C=0.001																		0.00650170237308	0.00282727209112	0.0211339281292					0.000381058452051	0.000381058452051	0.000381058452051				0.0126111440993	0.0081509715935	0.0081509715935	0.0081509715935		0.0312090127717	0.0312090127717					0.0312090127717							
dims=100 task=gender kernel=rbf gamma=0.001 C=1																		0.00650170237308	0.00282727209112	0.0211339281292					0.000381058452051	0.000381058452051	0.000381058452051				0.0126111440993	0.0081509715935	0.0081509715935	0.0081509715935		0.0312090127717	0.0312090127717					0.0312090127717							
dims=100 task=gender kernel=rbf gamma=0.001 C=1000.0																		0.00650170237308	0.00282727209112	0.0211339281292					0.000381058452051	0.000381058452051	0.000381058452051				0.0126111440993	0.0081509715935	0.0081509715935	0.0081509715935		0.0312090127717	0.0312090127717					0.0312090127717							
dims=100 task=gender kernel=rbf gamma=0.001 C=10000.0																		0.00650170237308	0.00282727209112	0.0211339281292					0.000381058452051	0.000381058452051	0.000381058452051				0.0126111440993	0.0081509715935	0.0081509715935	0.0081509715935		0.0312090127717	0.0312090127717					0.0312090127717							
dims=100 task=gender kernel=rbf gamma=0.001 C=100000.0																			0.014019277114						0.00249690891514	0.00249690891514	0.00249690891514									0.00407199421773	0.00407199421773					0.00407199421773							
dims=100 task=gender kernel=rbf gamma=0.001 C=1e-05																		0.00650170237308	0.00282727209112	0.0211339281292					0.000381058452051	0.000381058452051	0.000381058452051				0.0126111440993	0.0081509715935	0.0081509715935	0.0081509715935		0.0312090127717	0.0312090127717					0.0312090127717							
dims=100 task=gender kernel=rbf gamma=1 C=0.0001																		0.00650170237308	0.00282727209112	0.0211339281292					0.000381058452051	0.000381058452051	0.000381058452051				0.0126111440993	0.0081509715935	0.0081509715935	0.0081509715935		0.0312090127717	0.0312090127717					0.0312090127717							
dims=100 task=gender kernel=rbf gamma=1 C=0.001																		0.00650170237308	0.00282727209112	0.0211339281292					0.000381058452051	0.000381058452051	0.000381058452051				0.0126111440993	0.0081509715935	0.0081509715935	0.0081509715935		0.0312090127717	0.0312090127717					0.0312090127717							
dims=100 task=gender kernel=rbf gamma=1 C=1																		0.00650170237308	0.00282727209112	0.0211339281292					0.000381058452051	0.000381058452051	0.000381058452051				0.0126111440993	0.0081509715935	0.0081509715935	0.0081509715935		0.0312090127717	0.0312090127717					0.0312090127717							
dims=100 task=gender kernel=rbf gamma=1 C=1000.0	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308		0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308				0.00650170237308															0.000157052284231	0.000157052284231	0.000768538913163	0.0019397281129	0.0019397281129	0.0019397281129	0.000157052284231	0.00282727209112	0.00282727209112	0.00282727209112	0.00282727209112	0.00282727209112	0.00282727209112	0.00282727209112
dims=100 task=gender kernel=rbf gamma=1 C=10000.0	0.0022022199425	0.0022022199425	0.0022022199425	0.0022022199425	0.0022022199425	0.0022022199425	0.0022022199425	0.00282727209112	0.00282727209112	0.00282727209112	0.00282727209112	0.00282727209112	0.014019277114	0.00282727209112	0.00282727209112	0.00282727209112	0.00282727209112				0.00282727209112	0.0172574560831	0.0172574560831					0.0172574560831	0.0312090127717	0.0312090127717					0.0312090127717	0.00018267179111	0.00018267179111	0.00131494466971	0.00149887333715	0.00149887333715	0.00149887333715	0.00018267179111	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715	0.00149887333715
