	dims=50 task=gender kernel=rbf gamma=0.0001 C=0.0001	dims=50 task=gender kernel=rbf gamma=0.0001 C=0.001	dims=50 task=gender kernel=rbf gamma=0.0001 C=1	dims=50 task=gender kernel=rbf gamma=0.0001 C=1000.0	dims=50 task=gender kernel=rbf gamma=0.0001 C=10000.0	dims=50 task=gender kernel=rbf gamma=0.0001 C=100000.0	dims=50 task=gender kernel=rbf gamma=0.0001 C=1e-05	dims=50 task=gender kernel=rbf gamma=0.001 C=0.0001	dims=50 task=gender kernel=rbf gamma=0.001 C=0.001	dims=50 task=gender kernel=rbf gamma=0.001 C=1	dims=50 task=gender kernel=rbf gamma=0.001 C=1000.0	dims=50 task=gender kernel=rbf gamma=0.001 C=10000.0	dims=50 task=gender kernel=rbf gamma=0.001 C=100000.0	dims=50 task=gender kernel=rbf gamma=0.001 C=1e-05	dims=50 task=gender kernel=rbf gamma=1 C=0.0001	dims=50 task=gender kernel=rbf gamma=1 C=0.001	dims=50 task=gender kernel=rbf gamma=1 C=1	dims=50 task=gender kernel=rbf gamma=1 C=1000.0	dims=50 task=gender kernel=rbf gamma=1 C=10000.0	dims=50 task=gender kernel=rbf gamma=1 C=100000.0	dims=50 task=gender kernel=rbf gamma=1 C=1e-05	dims=50 task=gender kernel=rbf gamma=1000.0 C=0.0001	dims=50 task=gender kernel=rbf gamma=1000.0 C=0.001	dims=50 task=gender kernel=rbf gamma=1000.0 C=1	dims=50 task=gender kernel=rbf gamma=1000.0 C=1000.0	dims=50 task=gender kernel=rbf gamma=1000.0 C=10000.0	dims=50 task=gender kernel=rbf gamma=1000.0 C=100000.0	dims=50 task=gender kernel=rbf gamma=1000.0 C=1e-05	dims=50 task=gender kernel=rbf gamma=10000.0 C=0.0001	dims=50 task=gender kernel=rbf gamma=10000.0 C=0.001	dims=50 task=gender kernel=rbf gamma=10000.0 C=1	dims=50 task=gender kernel=rbf gamma=10000.0 C=1000.0	dims=50 task=gender kernel=rbf gamma=10000.0 C=10000.0	dims=50 task=gender kernel=rbf gamma=10000.0 C=100000.0	dims=50 task=gender kernel=rbf gamma=10000.0 C=1e-05	dims=50 task=gender kernel=rbf gamma=100000.0 C=0.0001	dims=50 task=gender kernel=rbf gamma=100000.0 C=0.001	dims=50 task=gender kernel=rbf gamma=100000.0 C=1	dims=50 task=gender kernel=rbf gamma=100000.0 C=1000.0	dims=50 task=gender kernel=rbf gamma=100000.0 C=10000.0	dims=50 task=gender kernel=rbf gamma=100000.0 C=100000.0	dims=50 task=gender kernel=rbf gamma=100000.0 C=1e-05	dims=50 task=gender kernel=rbf gamma=1e-05 C=0.0001	dims=50 task=gender kernel=rbf gamma=1e-05 C=0.001	dims=50 task=gender kernel=rbf gamma=1e-05 C=1	dims=50 task=gender kernel=rbf gamma=1e-05 C=1000.0	dims=50 task=gender kernel=rbf gamma=1e-05 C=10000.0	dims=50 task=gender kernel=rbf gamma=1e-05 C=100000.0	dims=50 task=gender kernel=rbf gamma=1e-05 C=1e-05
dims=50 task=gender kernel=rbf gamma=0.0001 C=0.0001																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.0001 C=0.001																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.0001 C=1																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.0001 C=1000.0																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.0001 C=10000.0																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.0001 C=100000.0																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.0001 C=1e-05																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.001 C=0.0001																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.001 C=0.001																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.001 C=1																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.001 C=1000.0																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.001 C=10000.0																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=0.001 C=100000.0																		0.0283655056052	0.0022022199425	0.0172574560831					0.00319709944793	0.00319709944793	0.00319709944793				0.0451545696243	0.0493661947519	0.0493661947519	0.0493661947519															
dims=50 task=gender kernel=rbf gamma=0.001 C=1e-05																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=1 C=0.0001																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=1 C=0.001																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=1 C=1																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=1 C=1000.0	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072	0.0283655056052	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072				0.00515895757072	0.0412500165939	0.0412500165939	0.0342937210365				0.0412500165939								0.000880743190742	0.000880743190742		0.0412500165939	0.0412500165939	0.0412500165939	0.000880743190742	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308
dims=50 task=gender kernel=rbf gamma=1 C=10000.0	0.000880743190742	0.000880743190742	0.000880743190742	0.000880743190742	0.000880743190742	0.000880743190742	0.000880743190742	0.000880743190742	0.000880743190742	0.000880743190742	0.000880743190742	0.000880743190742	0.0022022199425	0.000880743190742	0.000880743190742	0.000880743190742	0.000880743190742				0.000880743190742	0.010165201892	0.010165201892	0.00910849639803				0.010165201892	0.0312090127717	0.0312090127717					0.0312090127717	0.000329838520778	0.000329838520778	0.0113296966845	0.00650170237308	0.00650170237308	0.00650170237308	0.000329838520778	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038
dims=50 task=gender kernel=rbf gamma=1 C=100000.0	0.00458639208025	0.00458639208025	0.00458639208025	0.00458639208025	0.00458639208025	0.00458639208025	0.00458639208025	0.00458639208025	0.00458639208025	0.00458639208025	0.00458639208025	0.00458639208025	0.0172574560831	0.00458639208025	0.00458639208025	0.00458639208025	0.00458639208025				0.00458639208025	0.0376353137873	0.0376353137873	0.0412500165939				0.0376353137873								0.00579535854433	0.00579535854433					0.00579535854433	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993	0.0126111440993
dims=50 task=gender kernel=rbf gamma=1 C=1e-05																		0.00515895757072	0.000880743190742	0.00458639208025					0.00100797624038	0.00100797624038	0.00100797624038				0.00650170237308	0.0113296966845	0.0113296966845	0.0113296966845				0.0312090127717											
dims=50 task=gender kernel=rbf gamma=1000.0 C=0.0001																		0.0412500165939	0.010165201892	0.0376353137873					0.0172574560831	0.0172574560831	0.0172574560831																						
dims=50 task=gender kernel=rbf gamma=1000.0 C=0.001																		0.0412500165939	0.010165201892	0.0376353137873					0.0172574560831	0.0172574560831	0.0172574560831																						
dims=50 task=gender kernel=rbf gamma=1000.0 C=1																		0.0342937210365	0.00910849639803	0.0412500165939					0.010165201892	0.010165201892	0.010165201892																						
dims=50 task=gender kernel=rbf gamma=1000.0 C=1000.0	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00319709944793	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038				0.00100797624038	0.0172574560831	0.0172574560831	0.010165201892				0.0172574560831								0.000506541484692	0.000506541484692	0.0312090127717	0.0172574560831	0.0172574560831	0.0172574560831	0.000506541484692	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129
dims=50 task=gender kernel=rbf gamma=1000.0 C=10000.0	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00319709944793	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038				0.00100797624038	0.0172574560831	0.0172574560831	0.010165201892				0.0172574560831								0.000506541484692	0.000506541484692	0.0312090127717	0.0172574560831	0.0172574560831	0.0172574560831	0.000506541484692	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129
dims=50 task=gender kernel=rbf gamma=1000.0 C=100000.0	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038	0.00319709944793	0.00100797624038	0.00100797624038	0.00100797624038	0.00100797624038				0.00100797624038	0.0172574560831	0.0172574560831	0.010165201892				0.0172574560831								0.000506541484692	0.000506541484692	0.0312090127717	0.0172574560831	0.0172574560831	0.0172574560831	0.000506541484692	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129	0.0019397281129
dims=50 task=gender kernel=rbf gamma=1000.0 C=1e-05																		0.0412500165939	0.010165201892	0.0376353137873					0.0172574560831	0.0172574560831	0.0172574560831																						
dims=50 task=gender kernel=rbf gamma=10000.0 C=0.0001																			0.0312090127717																														
dims=50 task=gender kernel=rbf gamma=10000.0 C=0.001																			0.0312090127717																														
dims=50 task=gender kernel=rbf gamma=10000.0 C=1	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308	0.0451545696243	0.00650170237308	0.00650170237308	0.00650170237308	0.00650170237308				0.00650170237308															0.00249690891514	0.00249690891514					0.00249690891514	0.0211339281292	0.0211339281292	0.0211339281292	0.0211339281292	0.0211339281292	0.0211339281292	0.0211339281292
dims=50 task=gender kernel=rbf gamma=10000.0 C=1000.0	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0493661947519	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845				0.0113296966845															0.00458639208025	0.00458639208025					0.00458639208025	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129
dims=50 task=gender kernel=rbf gamma=10000.0 C=10000.0	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0493661947519	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845				0.0113296966845															0.00458639208025	0.00458639208025					0.00458639208025	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129
dims=50 task=gender kernel=rbf gamma=10000.0 C=100000.0	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845	0.0493661947519	0.0113296966845	0.0113296966845	0.0113296966845	0.0113296966845				0.0113296966845															0.00458639208025	0.00458639208025					0.00458639208025	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129	0.0233422020129
dims=50 task=gender kernel=rbf gamma=10000.0 C=1e-05																			0.0312090127717																														
dims=50 task=gender kernel=rbf gamma=100000.0 C=0.0001																		0.000880743190742	0.000329838520778	0.00579535854433					0.000506541484692	0.000506541484692	0.000506541484692				0.00249690891514	0.00458639208025	0.00458639208025	0.00458639208025				0.0412500165939											
dims=50 task=gender kernel=rbf gamma=100000.0 C=0.001																		0.000880743190742	0.000329838520778	0.00579535854433					0.000506541484692	0.000506541484692	0.000506541484692				0.00249690891514	0.00458639208025	0.00458639208025	0.00458639208025				0.0412500165939											
dims=50 task=gender kernel=rbf gamma=100000.0 C=1	0.0312090127717	0.0312090127717	0.0312090127717	0.0312090127717	0.0312090127717	0.0312090127717	0.0312090127717	0.0312090127717	0.0312090127717	0.0312090127717	0.0312090127717	0.0312090127717		0.0312090127717	0.0312090127717	0.0312090127717	0.0312090127717		0.0113296966845		0.0312090127717				0.0312090127717	0.0312090127717	0.0312090127717									0.0412500165939	0.0412500165939					0.0412500165939							
dims=50 task=gender kernel=rbf gamma=100000.0 C=1000.0																		0.0412500165939	0.00650170237308						0.0172574560831	0.0172574560831	0.0172574560831																						
dims=50 task=gender kernel=rbf gamma=100000.0 C=10000.0																		0.0412500165939	0.00650170237308						0.0172574560831	0.0172574560831	0.0172574560831																						
dims=50 task=gender kernel=rbf gamma=100000.0 C=100000.0																		0.0412500165939	0.00650170237308						0.0172574560831	0.0172574560831	0.0172574560831																						
dims=50 task=gender kernel=rbf gamma=100000.0 C=1e-05																		0.000880743190742	0.000329838520778	0.00579535854433					0.000506541484692	0.000506541484692	0.000506541484692				0.00249690891514	0.00458639208025	0.00458639208025	0.00458639208025				0.0412500165939											
dims=50 task=gender kernel=rbf gamma=1e-05 C=0.0001																		0.00650170237308	0.00100797624038	0.0126111440993					0.0019397281129	0.0019397281129	0.0019397281129				0.0211339281292	0.0233422020129	0.0233422020129	0.0233422020129															
dims=50 task=gender kernel=rbf gamma=1e-05 C=0.001																		0.00650170237308	0.00100797624038	0.0126111440993					0.0019397281129	0.0019397281129	0.0019397281129				0.0211339281292	0.0233422020129	0.0233422020129	0.0233422020129															
dims=50 task=gender kernel=rbf gamma=1e-05 C=1																		0.00650170237308	0.00100797624038	0.0126111440993					0.0019397281129	0.0019397281129	0.0019397281129				0.0211339281292	0.0233422020129	0.0233422020129	0.0233422020129															
dims=50 task=gender kernel=rbf gamma=1e-05 C=1000.0																		0.00650170237308	0.00100797624038	0.0126111440993					0.0019397281129	0.0019397281129	0.0019397281129				0.0211339281292	0.0233422020129	0.0233422020129	0.0233422020129															
dims=50 task=gender kernel=rbf gamma=1e-05 C=10000.0																		0.00650170237308	0.00100797624038	0.0126111440993					0.0019397281129	0.0019397281129	0.0019397281129				0.0211339281292	0.0233422020129	0.0233422020129	0.0233422020129															
dims=50 task=gender kernel=rbf gamma=1e-05 C=100000.0																		0.00650170237308	0.00100797624038	0.0126111440993					0.0019397281129	0.0019397281129	0.0019397281129				0.0211339281292	0.0233422020129	0.0233422020129	0.0233422020129															
dims=50 task=gender kernel=rbf gamma=1e-05 C=1e-05																		0.00650170237308	0.00100797624038	0.0126111440993					0.0019397281129	0.0019397281129	0.0019397281129				0.0211339281292	0.0233422020129	0.0233422020129	0.0233422020129															
