	dims=200 task=gender kernel=poly degree=1 C=0.001	dims=200 task=gender kernel=poly degree=1 C=1	dims=200 task=gender kernel=poly degree=1 C=1000	dims=200 task=gender kernel=poly degree=2 C=0.001	dims=200 task=gender kernel=poly degree=2 C=1	dims=200 task=gender kernel=poly degree=2 C=1000	dims=200 task=gender kernel=poly degree=3 C=0.001	dims=200 task=gender kernel=poly degree=3 C=1	dims=200 task=gender kernel=poly degree=3 C=1000
dims=200 task=gender kernel=poly degree=1 C=0.001						0.00515895757072			
dims=200 task=gender kernel=poly degree=1 C=1						0.00515895757072			
dims=200 task=gender kernel=poly degree=1 C=1000						0.00515895757072			
dims=200 task=gender kernel=poly degree=2 C=0.001						0.00515895757072			
dims=200 task=gender kernel=poly degree=2 C=1						0.00515895757072			
dims=200 task=gender kernel=poly degree=2 C=1000	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072	0.00515895757072		0.00515895757072	0.00515895757072	
dims=200 task=gender kernel=poly degree=3 C=0.001						0.00515895757072			
dims=200 task=gender kernel=poly degree=3 C=1						0.00515895757072			
dims=200 task=gender kernel=poly degree=3 C=1000									
